date,times,text_times
2023-01-23,0.0,00:00
2023-01-24,1.425,00:01
2023-01-25,0.0,00:00
2023-02-02,3.917,00:04
2023-02-03,5.227,00:05
2023-02-04,4.685,00:05
2023-02-05,0.0,00:00
2023-02-06,3.386,00:03
2023-02-07,0.0,00:00
2023-02-09,0.0,00:00
2023-02-10,0.0,00:00
2023-02-12,0.0,00:00
2023-03-01,7.390000000000001,00:07
2023-03-03,0.0,00:00
2023-03-04,0.0,00:00
2023-03-06,0.0,00:00
2023-03-07,5.063000000000001,00:05
2023-03-08,6.116,00:06
2023-03-09,0.0,00:00
2023-03-10,0.0,00:00
2023-03-12,0.0,00:00
2023-03-13,0.0,00:00
2023-03-14,12.285,00:12
2023-03-16,0.0,00:00
2023-03-17,10.579999999999998,00:11
2023-03-19,0.0,00:00
2023-03-21,0.0,00:00
2023-03-24,0.0,00:00
2023-03-27,12.899000000000001,00:13
2023-03-29,0.0,00:00
2023-04-02,0.0,00:00
2023-04-03,0.0,00:00
2023-04-12,3.77,00:04
2023-04-13,1.896,00:02
2023-04-15,0.0,00:00
2023-04-17,0.0,00:00
2023-04-19,0.0,00:00
2023-04-20,0.0,00:00
2023-04-21,0.0,00:00
2023-04-24,5.95,00:06
2023-04-25,2.696,00:03
2023-04-27,0.0,00:00
2023-05-01,7.003,00:07
2023-05-12,6.181,00:06
2023-05-18,11.774000000000001,00:12
2023-05-14,4.316,00:04
2023-05-21,17.826,00:18
2023-05-23,14.939,00:15
2023-05-25,15.570000000000002,00:16
2023-05-28,0.352,00:00
2023-06-21,5.090999999999999,00:05
2023-06-27,7.372,00:07
2023-06-29,13.388,00:13
2023-07-03,0.0,00:00
2023-07-06,0.0,00:00
2023-07-18,0.0,00:00
2023-07-19,9.495,00:09
2023-07-24,7.0600000000000005,00:07
2023-08-13,0.0,00:00
2023-08-14,5.168,00:05
2023-08-15,0.0,00:00
2023-08-16,0.604,00:01
2023-09-01,0.007,00:00
2023-09-05,3.073,00:03
2023-09-06,12.443,00:12
2023-10-01,13.012,00:13
2023-10-02,1.303,00:01
2023-10-06,3.475,00:03
2023-10-07,1.828,00:02
2023-10-11,7.019,00:07
2023-10-13,4.519,00:05
2023-10-16,0.0,00:00
2023-10-21,4.337,00:04
2023-10-25,0.0,00:00
2023-10-31,13.787,00:14
2023-11-01,1.672,00:02
2023-12-03,1.66,00:02
2023-12-04,14.661999999999999,00:15
2023-12-20,5.733,00:06
2024-01-02,2.143,00:02
2024-01-03,1.93,00:02
2024-01-05,4.68,00:05
2024-01-08,4.2829999999999995,00:04
2024-01-11,0.003,00:00
2024-01-12,2.422,00:02
2024-01-15,53.242,00:53
2024-01-21,6.857,00:07
2024-01-22,4.6080000000000005,00:05
2024-02-03,5.101,00:05
2024-02-12,0.0,00:00
2024-02-19,4.562,00:05
2024-02-20,5.058,00:05
2024-02-21,5.447,00:05
2024-02-23,8.492,00:08
2024-02-24,8.923,00:09
2024-02-25,31.423000000000002,00:31
2024-02-26,57.50800000000001,00:58
2024-02-27,2.223,00:02
2024-02-28,5.797,00:06
2024-03-01,1.953,00:02
